held_out	precision	precision_std	auprc	auprc_std	recall	f1	pos_rate	lift	prec_at_r30	rank99	eff_rank
5mC	0.2831	0.0292	0.4688	0.0337	0.6788	0.3980	0.0643	7.29	0.6452	32.0	4.8
5hmC	0.1519	0.0159	0.2316	0.0119	0.5215	0.2339	0.0580	3.99	0.3019	23.0	3.6
6mA	0.0099	0.0035	0.0472	0.0012	0.0215	0.0135	0.0611	0.77	0.0645	25.0	4.4
