held_out	precision	precision_std	auprc	auprc_std	recall	f1	pos_rate	lift	prec_at_r30	rank99	eff_rank
5mC	0.2911	0.0000	0.4157	0.0000	0.6492	0.4020	0.0643	6.47	0.5725	19.0	2.8
5hmC	0.1577	0.0000	0.1769	0.0000	0.4476	0.2332	0.0580	3.05	0.2251	13.0	2.3
6mA	0.0101	0.0000	0.0459	0.0000	0.0242	0.0143	0.0611	0.75	0.0648	18.0	3.3
