held_out	precision	precision_std	auprc	auprc_std	recall	f1	pos_rate	lift	prec_at_r30	rank99	eff_rank
5mC	0.3347	0.0000	0.4248	0.0000	0.6573	0.4435	0.0643	6.61	0.5435	29.0	5.0
5hmC	0.1785	0.0000	0.1858	0.0000	0.4476	0.2552	0.0580	3.20	0.2568	19.0	3.3
6mA	0.0087	0.0000	0.0560	0.0000	0.0121	0.0101	0.0611	0.92	0.0783	28.0	4.6
