held_out	precision	precision_std	auprc	auprc_std	recall	f1	pos_rate	lift	prec_at_r30	rank99	eff_rank
5mC	0.3302	0.1396	0.3371	0.1294	0.4839	0.3664	0.0643	5.24	0.4436	10.0	2.6
5hmC	0.1261	0.0456	0.1384	0.0281	0.5323	0.1855	0.0580	2.39	0.1586	11.3	2.6
6mA	0.0061	0.0010	0.0484	0.0025	0.0108	0.0077	0.0611	0.79	0.0675	25.0	3.7
