held_out	precision	precision_std	auprc	auprc_std	recall	f1	pos_rate	lift	prec_at_r30	rank99	eff_rank
5mC	0.3158	0.0000	0.4143	0.0000	0.6290	0.4205	0.0643	6.44	0.5315	11.0	2.8
5hmC	0.1435	0.0000	0.1365	0.0000	0.3710	0.2070	0.0580	2.35	0.1472	14.0	3.5
6mA	0.0075	0.0000	0.0519	0.0000	0.0161	0.0102	0.0611	0.85	0.0759	11.0	2.8
