held_out	precision	precision_std	auprc	auprc_std	recall	f1	pos_rate	lift	prec_at_r30	rank99	eff_rank
5mC	0.3066	0.0125	0.4588	0.0306	0.6680	0.4202	0.0643	7.14	0.6254	15.3	2.3
5hmC	0.1686	0.0176	0.2181	0.0317	0.4570	0.2462	0.0580	3.76	0.2659	11.7	2.2
6mA	0.0092	0.0025	0.0440	0.0014	0.0188	0.0123	0.0611	0.72	0.0637	14.3	2.9
